,Date,Open,High,Low,Close,Adj Close,Volume,%K,%D,RSI,ADX,EMA_8,EMA_21,EMA_34,EMA_55,EMA_89,SMA_50,SMA_100,SMA_200,ATR,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3,date
0,2022-01-03,4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,4796.56005859375,3831020000,,,,,4796.56,4796.56,4796.56,4796.56,4796.56,,,,,,,,,,,18995.0
1,2022-01-04,4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4793.5400390625,4683170000,,,,,4794.86,4794.98,4795.01,4795.02,4795.03,,,,,,,,,,,18996.0
2,2022-01-05,4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4700.580078125,4887960000,,,0.0,,4755.29,4760.47,4761.66,4762.39,4762.84,,,,,,,,,,,18997.0
3,2022-01-06,4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4696.0498046875,4295280000,,,0.0,,4734.53,4741.99,4743.78,4744.89,4745.57,,,,,,,,,,,18998.0
4,2022-01-07,4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4677.02978515625,4181510000,,,0.0,,4716.67,4726.42,4728.82,4730.31,4731.24,,,,,,,,,,,18999.0
5,2022-01-10,4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4670.2900390625,4511810000,,,0.0,,4703.43,4714.7,4717.57,4719.38,4720.5,,,,,,,,,,,19002.0
6,2022-01-11,4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4713.06982421875,4101590000,,,74.56130062931017,,4706.02,4714.4,4716.81,4718.38,4719.37,,,,,,,,,,,19003.0
7,2022-01-12,4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4726.35009765625,4048220000,60.96536708902596,,82.61108659961849,,4711.24,4716.43,4718.26,4719.5,4720.31,,,,,,,,,,,19004.0
8,2022-01-13,4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4659.02978515625,4251730000,32.48565396834577,,19.63107919554136,,4698.29,4707.37,4710.03,4711.77,4712.88,,,,,,,,,,,19005.0
9,2022-01-14,4637.990234375,4665.1298828125,4614.75,4662.85009765625,4662.85009765625,4338490000,37.41292021520095,43.62131375752423,26.03130221756014,,4689.72,4700.78,4703.97,4706.04,4707.35,,,,,,,,,,,19006.0
10,2022-01-18,4632.240234375,4632.240234375,4568.7001953125,4577.10986328125,4577.10986328125,4748700000,4.668668983426672,24.855747722324466,5.690447842713979,,4663.01,4683.47,4688.76,4692.07,4694.14,,,,,,,,,,,19010.0
11,2022-01-19,4588.02978515625,4611.5498046875,4530.2001953125,4532.759765625,4532.759765625,4465740000,1.1707321430964324,14.417440447241352,3.1467178528730955,,4632.57,4663.37,4671.15,4675.98,4678.97,,,,,,,,,,,19011.0
12,2022-01-20,4547.35009765625,4602.10986328125,4477.9501953125,4482.72998046875,4482.72998046875,4640870000,1.7645404696067863,2.5346471987099637,1.5666774203722724,,4597.96,4640.25,4651.02,4657.66,4661.75,,,,,,,,,,,19012.0
13,2022-01-21,4471.3798828125,4494.52001953125,4395.33984375,4397.93994140625,4397.93994140625,5589100000,0.7355500671318934,1.2236075599450373,0.5798238936467186,,4552.15,4610.35,4625.25,4634.41,4640.03,,,,,,,,,,,19013.0
14,2022-01-24,4356.31982421875,4417.35009765625,4222.6201171875,4410.1298828125,4410.1298828125,6928110000,35.63402055159333,12.711370362777338,15.825314184491688,,4519.84,4586.42,4604.28,4615.36,4622.18,,,,,,,,,,,19016.0
15,2022-01-25,4366.64013671875,4411.009765625,4287.10986328125,4356.4501953125,4356.4501953125,5145050000,25.662046417215638,20.677205678646956,6.732649016778623,,4482.87,4559.69,4581.06,4594.4,4602.63,,,,,,,,,,,19017.0
